Country Code,Gdp-CO2,Ginindex-CO2,Lawindex-CO2,Politicalstab-CO2,Gdp-Ginindex,Gdp-Lawindex,Gdp-Politicalstab,Ginindex-Lawindex,Ginindex-Politicalstab,Politicalstab-Lawindex
AGO,0.263,0.083,0.156,0.364,-0.019,-0.230,-0.059,0.918,-0.563,-0.510
ALB,-0.042,0.265,0.585,0.659,-0.598,0.057,-0.185,0.078,0.463,0.792
ARE,-0.37,0.213,0,-0.357,0.161,-0.253,0.543,-0.873,0.721,-0.807
ARG,0.691,-0.881,0.345,0.818,-0.437,-0.053,0.494,-0.468,-0.802,0.518
ARM,0.277,-0.634,0.648,-0.584,-0.389,-0.211,0.265,-0.259,0.186,-0.746
AUS,0.409,0.557,-0.231,0.229,0.464,0.287,0.540,-0.062,0.045,0.337
AUT,-0.117,-0.375,0.467,0.374,0.548,0.331,0.564,0.037,0.360,0.617
AZE,-0.251,0.287,0.828,-0.242,0.146,-0.277,0.656,0.293,0.342,-0.032
BDI,-0.198,0.76,-0.751,-0.006,0.377,0.226,-0.136,-0.580,-0.100,0.444
BEL,-0.135,0.828,-0.321,0.467,0.057,0.260,0.332,-0.060,0.404,0.175
BEN,-0.06,-0.241,-0.739,-0.932,-0.066,0.137,0.022,0.212,0.288,0.623
BFA,-0.09,0.226,-0.214,-0.937,-0.185,0.139,-0.093,-0.185,-0.168,0.354
BGD,-0.071,-0.719,0.803,0.837,0.262,0.175,-0.108,-0.717,-0.688,0.784
BGR,-0.098,-0.714,-0.072,0.01,-0.316,0.344,0.331,-0.053,-0.031,0.536
BIH,0.36,-0.85,0.701,-0.422,-0.432,-0.041,-0.509,-0.698,0.393,0.209
BLR,0.788,0.058,0.266,0.144,0.176,0.202,0.069,-0.422,0.625,0.161
BOL,0.318,-0.905,-0.889,0.641,-0.058,0.051,0.376,0.904,-0.629,-0.511
BRA,0.507,-0.75,0.563,-0.331,-0.300,0.765,0.254,-0.515,0.397,0.351
BTN,0.271,-0.551,0.789,0.193,0.245,-0.012,-0.091,-0.770,0.100,0.132
BWA,-0.143,-0.802,-0.817,-0.013,-0.002,0.256,0.377,0.757,-0.237,0.116
CAF,0.44,-0.719,-0.243,0.161,0.007,0.588,0.183,0.747,0.390,0.408
CAN,0.11,0.193,0.567,0.227,0.182,0.291,-0.181,0.582,0.285,0.590
CHE,0.19,0.011,0.067,0.261,-0.338,-0.315,0.225,-0.106,-0.596,0.373
CHL,0.23,-0.93,-0.532,-0.824,-0.307,0.484,0.001,0.416,0.725,0.617
CHN,-0.153,-0.672,0.746,0.074,-0.266,0.257,0.119,-0.789,-0.348,0.329
CIV,0.034,-0.854,0.962,0.884,-0.316,-0.007,-0.069,-0.789,-0.676,0.933
CMR,-0.017,0.858,0.034,-0.956,-0.062,0.079,-0.022,0.418,-0.805,-0.012
COD,0.02,-0.608,0.334,0.13,0.244,0.052,0.214,0.255,-0.382,-0.465
COG,-0.05,0.673,0.664,0.759,0.434,0.358,0.285,0.860,0.824,0.790
COL,0.158,-0.842,0.62,0.94,-0.027,0.640,0.086,-0.466,-0.796,0.611
COM,-0.198,-0.694,-0.67,0.601,-0.171,0.053,-0.369,0.255,-0.504,-0.018
CPV,0.137,-0.682,-0.766,0.332,0.023,0.080,-0.293,0.568,0.008,-0.534
CRI,0.394,-0.37,-0.166,-0.561,0.020,0.288,-0.211,0.262,0.288,0.021
CYP,0.319,-0.594,0.59,0.124,-0.042,0.299,0.078,0.205,0.384,0.448
CZE,0.109,0.542,-0.864,0.036,0.045,-0.026,0.289,-0.656,-0.337,0.243
DEU,-0.011,-0.67,0.523,0.496,0.053,0.365,0.304,-0.291,-0.368,0.617
DJI,-0.65,0.755,0.574,0.667,-0.852,-0.535,-0.738,0.540,0.634,0.696
DNK,0.056,-0.786,0.411,0.854,-0.100,0.241,0.139,-0.271,-0.789,0.326
DOM,0.113,-0.755,0.647,0.668,-0.057,-0.026,0.209,-0.833,-0.736,0.532
DZA,-0.178,,-0.276,0.821,,0.548,-0.025,,,-0.128
ECU,0.654,-0.895,0.042,0.849,-0.445,-0.452,0.374,-0.271,-0.872,0.485
EGY,-0.093,-0.065,-0.674,-0.7,-0.399,-0.282,-0.191,0.413,0.325,0.906
ESP,0.097,-0.646,0.831,-0.668,0.308,0.226,-0.514,-0.505,0.222,-0.795
EST,-0.032,0.469,-0.528,-0.142,-0.206,0.249,-0.126,-0.584,0.623,-0.119
ETH,0.107,0.863,0.808,-0.136,-0.348,-0.184,-0.460,0.798,-0.015,0.104
FIN,-0.005,0.769,-0.593,0.893,0.118,-0.283,0.123,-0.700,0.565,-0.587
FJI,0.654,-0.408,0.391,0.5,0.029,-0.089,0.144,-0.624,-0.803,0.801
FRA,0.079,0.049,0.486,0.468,0.480,0.723,0.225,0.426,0.180,0.153
FSM,-0.143,-0.209,-0.383,-0.191,0.168,0.229,0.436,0.793,0.201,0.312
GAB,-0.042,-0.002,0.572,0.156,0.027,0.282,0.476,0.426,0.790,0.612
GBR,0.156,0.839,0.544,-0.073,0.111,0.251,0.148,0.320,-0.143,0.060
GEO,-0.025,-0.45,0.942,0.894,0.535,0.154,0.121,-0.206,-0.249,0.898
GHA,0.057,0.801,0.027,0.015,-0.148,0.518,-0.056,-0.006,-0.172,-0.308
GIN,0.219,-0.837,0.42,0.475,0.168,0.263,-0.253,-0.263,-0.553,0.712
GMB,0,-0.893,-0.417,-0.363,0.284,-0.103,0.141,0.597,0.544,0.690
GNB,-0.003,-0.455,-0.529,0.23,-0.031,0.095,-0.026,-0.145,-0.476,0.200
GRC,0.179,-0.014,0.882,0.526,-0.073,0.239,-0.167,-0.110,-0.461,0.643
GTM,0.013,-0.8,-0.15,0.742,0.210,-0.455,0.265,-0.131,-0.668,-0.459
HND,-0.102,-0.722,-0.652,-0.204,0.025,0.024,0.051,0.611,0.156,0.122
HRV,0.191,0.73,-0.748,-0.159,0.040,-0.088,-0.070,-0.824,-0.416,0.495
HTI,-0.311,,0.626,-0.179,,-0.809,-0.244,,,0.330
HUN,0.244,-0.139,0.797,0.546,-0.468,0.382,-0.053,-0.309,0.422,0.369
IDN,0.078,0.686,0.928,0.846,0.509,-0.036,0.237,0.685,0.853,0.864
IND,-0.045,-0.02,-0.676,0.594,0.145,0.150,0.062,-0.263,-0.501,-0.034
IRL,0.278,0.529,0.231,0.809,-0.503,-0.268,0.249,0.422,0.367,0.096
IRN,0.167,-0.583,0.424,-0.355,-0.665,-0.138,-0.011,-0.029,0.169,0.148
IRQ,0.145,0.869,-0.119,0.058,0.390,0.628,0.519,0.240,0.465,0.541
ISL,0.068,0.678,0.629,0.09,0.359,0.310,0.542,0.558,0.042,0.389
ISR,-0.462,0.53,0.027,-0.043,-0.130,-0.185,-0.440,-0.567,-0.671,0.454
ITA,0.047,-0.716,0.814,0.183,-0.358,-0.074,0.469,-0.400,-0.275,0.134
JAM,0.068,0.316,-0.63,-0.658,-0.334,0.028,0.034,-0.265,-0.264,0.814
JOR,0.507,-0.581,0.349,-0.474,-0.156,0.248,-0.511,-0.291,0.284,-0.261
JPN,0.122,-0.099,-0.355,-0.335,-0.550,-0.275,-0.163,-0.163,-0.196,0.671
KAZ,0.685,-0.706,0.572,-0.335,-0.382,0.089,-0.224,-0.705,0.327,-0.542
KEN,-0.16,-0.957,0.901,0.528,0.013,-0.049,0.201,-0.842,-0.593,0.558
KGZ,0.126,-0.702,0.156,0.588,-0.158,-0.247,0.029,-0.316,-0.542,0.191
KIR,-0.351,-0.179,0.32,-0.259,0.028,-0.400,0.076,-0.251,0.636,0.163
KOR,0.194,-0.674,0.569,-0.243,-0.372,0.047,0.021,-0.471,0.145,0.456
LAO,0.151,0.898,0.553,0.779,0.051,-0.061,0.034,0.812,0.878,0.847
LBN,0.938,,0.283,-0.523,,0.303,-0.586,,,-0.696
LBR,0.365,-0.337,0.325,0.705,-0.747,0.632,0.192,-0.702,-0.332,0.143
LCA,0.42,,-0.268,0.571,,-0.115,0.294,,,-0.488
LKA,0.077,-0.197,-0.228,0.784,0.144,-0.336,0.422,0.636,0.098,-0.176
LSO,0.562,-0.595,-0.497,0.154,-0.126,-0.121,0.374,0.757,0.398,0.311
LTU,0.427,-0.59,-0.678,0.051,-0.347,-0.073,-0.145,0.335,-0.005,0.018
LUX,0.281,-0.584,0.27,0.504,-0.065,0.100,-0.017,-0.456,-0.461,0.345
LVA,0.282,0.324,-0.552,0.078,0.293,0.187,-0.389,-0.575,0.299,-0.466
